activity	time	p	p_peak	p_smooth
Playing volleyball	1535	0	0	0.008191575
Boating	1535	2.02E-05	0.029966049	0.029966049
Playing baseball	1535	0	0	0
Running	1540	7.16E-06	0.004882765	0.004391862
Playing racquet sports	1540	0	0	0
Weightlifting/strength training	1540	2.58E-05	0.016104353	0.011516703
Hiking	1540	0	0	0
Biking	1540	2.71E-06	0.003269747	0.003269747
Walking	1540	8.09E-05	0.017491494	0.017707466
Using cardiovascular equipment	1540	1.59E-05	0.011911864	0.011911864
Participating in water sports	1540	2.61E-05	0.008153813	0.008153813
Playing basketball	1540	5.04E-06	0.002410454	0.002410454
"Working out, unspecified"	1540	9.82E-05	0.028243187	0.027558233
"Skiing, ice skating, snowboarding"	1540	0	0	0
Doing yoga	1540	0	0	0
Playing billiards	1540	1.75E-04	0.213292183	0.213976854
Fishing	1540	3.64E-05	0.021763583	0.021763583
Dancing	1540	3.76E-04	0.503944793	0.511037133
Playing football	1540	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1540	2.47E-05	0.061639106	0.061639106
Softball	1540	0	0	0
Playing soccer	1540	0	0	0
Doing aerobics	1540	0	0	0
Hunting	1540	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1540	0	0	0
Bowling	1540	5.33E-05	0.043204391	0.043204391
Rollerblading	1540	3.88E-06	0.012169769	0.012169769
Golfing	1540	1.68E-05	0.007148072	0.004765381
Playing volleyball	1540	0	0	0
Boating	1540	2.02E-05	0.029966049	0.029966049
Playing baseball	1540	0	0	0
Running	1545	1.22E-05	0.008292821	0.007156136
Playing racquet sports	1545	0	0	0
Weightlifting/strength training	1545	3.75E-06	0.002341403	0.009798619
Hiking	1545	0	0	0
Biking	1545	2.71E-06	0.003269747	0.003269747
Walking	1545	8.39E-05	0.018139411	0.018195036
Using cardiovascular equipment	1545	1.59E-05	0.011911864	0.011911864
Participating in water sports	1545	2.61E-05	0.008153813	0.008153813
Playing basketball	1545	5.04E-06	0.002410454	0.002410454
"Working out, unspecified"	1545	8.44E-05	0.024279633	0.026804704
"Skiing, ice skating, snowboarding"	1545	0	0	0
Doing yoga	1545	0	0	0
Playing billiards	1545	1.75E-04	0.213292183	0.194787732
Fishing	1545	3.64E-05	0.021763583	0.021763583
Dancing	1545	3.86E-04	0.518188035	0.504096987
Playing football	1545	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1545	2.47E-05	0.061639106	0.061639106
Softball	1545	0	0	0
Playing soccer	1545	0	0	0
Doing aerobics	1545	0	0	0
Hunting	1545	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1545	0	0	0
Bowling	1545	5.33E-05	0.043204391	0.043204391
Rollerblading	1545	3.88E-06	0.012169769	0.00811318
Golfing	1545	0	0	0.002382691
Playing volleyball	1545	0	0	0
Boating	1545	2.02E-05	0.029966049	0.029966049
Playing baseball	1545	0	0	0
Running	1550	1.22E-05	0.008292821	0.008292821
Playing racquet sports	1550	0	0	0
Weightlifting/strength training	1550	1.75E-05	0.010950101	0.008080535
Hiking	1550	0	0	0
Biking	1550	2.71E-06	0.003269747	0.003269747
Walking	1550	8.76E-05	0.018954203	0.018615827
Using cardiovascular equipment	1550	1.59E-05	0.011911864	0.007941243
Participating in water sports	1550	2.61E-05	0.008153813	0.008153813
Playing basketball	1550	5.04E-06	0.002410454	0.002410454
"Working out, unspecified"	1550	9.70E-05	0.027891291	0.026687405
"Skiing, ice skating, snowboarding"	1550	0	0	0
Doing yoga	1550	0	0	0
Playing billiards	1550	1.29E-04	0.157778829	0.171778954
Fishing	1550	3.64E-05	0.021763583	0.021763583
Dancing	1550	3.65E-04	0.490158134	0.495560367
Playing football	1550	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1550	2.47E-05	0.061639106	0.061639106
Softball	1550	0	0	0
Playing soccer	1550	0	0	0
Doing aerobics	1550	0	0	0
Hunting	1550	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1550	0	0	0
Bowling	1550	5.33E-05	0.043204391	0.043204391
Rollerblading	1550	0	0	0.00405659
Golfing	1550	0	0	0
Playing volleyball	1550	0	0	0
Boating	1550	2.02E-05	0.029966049	0.029966049
Playing baseball	1550	0	0	0
Running	1555	1.22E-05	0.008292821	0.008292821
Playing racquet sports	1555	0	0	0
Weightlifting/strength training	1555	1.75E-05	0.010950101	0.015214221
Hiking	1555	0	0	0
Biking	1555	2.71E-06	0.003269747	0.003269747
Walking	1555	8.67E-05	0.018753868	0.023155935
Using cardiovascular equipment	1555	0	0	0.003970621
Participating in water sports	1555	2.61E-05	0.008153813	0.008849422
Playing basketball	1555	5.04E-06	0.002410454	0.002410454
"Working out, unspecified"	1555	9.70E-05	0.027891291	0.030218424
"Skiing, ice skating, snowboarding"	1555	0	0	0
Doing yoga	1555	0	0	0
Playing billiards	1555	1.18E-04	0.144265849	0.148770176
Fishing	1555	3.64E-05	0.021763583	0.021763583
Dancing	1555	3.57E-04	0.478334932	0.482723393
Playing football	1555	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1555	2.47E-05	0.061639106	0.061639106
Softball	1555	0	0	0
Playing soccer	1555	0	0	0
Doing aerobics	1555	0	0	0
Hunting	1555	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1555	0	0	0
Bowling	1555	5.33E-05	0.043204391	0.043204391
Rollerblading	1555	0	0	0
Golfing	1555	0	0	0
Playing volleyball	1555	0	0	0
Boating	1555	2.02E-05	0.029966049	0.029966049
Playing baseball	1555	0	0	0
Running	1560	1.22E-05	0.008292821	0.008292821
Playing racquet sports	1560	0	0	0
Weightlifting/strength training	1560	3.80E-05	0.02374246	0.020519365
Hiking	1560	0	0	0
Biking	1560	2.71E-06	0.003269747	0.003269747
Walking	1560	1.47E-04	0.031759736	0.024710313
Using cardiovascular equipment	1560	0	0	0
Participating in water sports	1560	3.28E-05	0.010240642	0.009606306
Playing basketball	1560	5.04E-06	0.002410454	0.002410454
"Working out, unspecified"	1560	1.21E-04	0.03487269	0.02563346
"Skiing, ice skating, snowboarding"	1560	0	0	0.004673017
Doing yoga	1560	0	0	0
Playing billiards	1560	1.18E-04	0.144265849	0.127808609
Fishing	1560	3.64E-05	0.021763583	0.020805296
Dancing	1560	3.58E-04	0.479677112	0.428800187
Playing football	1560	6.62E-06	0.006845926	0.004563951
Vehicle touring/racing	1560	2.47E-05	0.061639106	0.046317093
Softball	1560	0	0	0
Playing soccer	1560	0	0	0
Doing aerobics	1560	0	0	0
Hunting	1560	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1560	0	0	0
Bowling	1560	5.33E-05	0.043204391	0.035628828
Rollerblading	1560	0	0	0
Golfing	1560	0	0	0
Playing volleyball	1560	0	0	0
Boating	1560	2.02E-05	0.029966049	0.029966049
Playing baseball	1560	0	0	0
Running	1565	1.22E-05	0.008292821	0.007156136
Playing racquet sports	1565	0	0	0
Weightlifting/strength training	1565	4.30E-05	0.026865533	0.025824509
Hiking	1565	0	0	0
Biking	1565	2.71E-06	0.003269747	0.003269747
Walking	1565	1.09E-04	0.023617336	0.02633147
Using cardiovascular equipment	1565	0	0	0
Participating in water sports	1565	3.34E-05	0.010424464	0.01036319
Playing basketball	1565	5.04E-06	0.002410454	0.002410454
"Working out, unspecified"	1565	4.91E-05	0.014136398	0.021290151
"Skiing, ice skating, snowboarding"	1565	6.77E-06	0.014019052	0.009346035
Doing yoga	1565	0	0	0
Playing billiards	1565	7.78E-05	0.09489413	0.113065467
Fishing	1565	3.16E-05	0.018888724	0.020291811
Dancing	1565	2.45E-04	0.328388517	0.37978616
Playing football	1565	0	0	0.002281975
Vehicle touring/racing	1565	6.29E-06	0.015673068	0.03099508
Softball	1565	0	0	0
Playing soccer	1565	0	0	0
Doing aerobics	1565	0	0	0
Hunting	1565	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1565	0	0	0
Bowling	1565	2.52E-05	0.020477704	0.028053266
Rollerblading	1565	0	0	0
Golfing	1565	0	0	0
Playing volleyball	1565	0	0	0
Boating	1565	2.02E-05	0.029966049	0.029966049
Playing baseball	1565	0	0	0
Running	1570	7.16E-06	0.004882765	0.00601945
Playing racquet sports	1570	0	0	0
Weightlifting/strength training	1570	4.30E-05	0.026865533	0.026865533
Hiking	1570	0	0	0
Biking	1570	2.71E-06	0.003269747	0.003269747
Walking	1570	1.09E-04	0.023617336	0.023617336
Using cardiovascular equipment	1570	0	0	5.73E-04
Participating in water sports	1570	3.34E-05	0.010424464	0.010424464
Playing basketball	1570	5.04E-06	0.002410454	0.001606969
"Working out, unspecified"	1570	5.17E-05	0.014861365	0.014222
"Skiing, ice skating, snowboarding"	1570	6.77E-06	0.014019052	0.014019052
Doing yoga	1570	0	0	0
Playing billiards	1570	8.20E-05	0.100036421	0.098322324
Fishing	1570	3.38E-05	0.020223127	0.019778326
Dancing	1570	2.47E-04	0.331292851	0.330324739
Playing football	1570	0	0	0
Vehicle touring/racing	1570	6.29E-06	0.015673068	0.015673068
Softball	1570	0	0	0
Playing soccer	1570	0	0	0
Doing aerobics	1570	0	0	0
Hunting	1570	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1570	0	0	0
Bowling	1570	2.52E-05	0.020477704	0.020477704
Rollerblading	1570	0	0	0
Golfing	1570	0	0	0
Playing volleyball	1570	0	0	0
Boating	1570	2.02E-05	0.029966049	0.029966049
Playing baseball	1570	0	0	0
Running	1575	7.16E-06	0.004882765	0.004882765
Playing racquet sports	1575	0	0	0
Weightlifting/strength training	1575	4.30E-05	0.026865533	0.026865533
Hiking	1575	0	0	0
Biking	1575	2.71E-06	0.003269747	0.003269747
Walking	1575	1.09E-04	0.023617336	0.022294402
Using cardiovascular equipment	1575	2.29E-06	0.001719715	0.001146476
Participating in water sports	1575	3.34E-05	0.010424464	0.00966758
Playing basketball	1575	0	0	8.03E-04
"Working out, unspecified"	1575	4.75E-05	0.013668237	0.013824291
"Skiing, ice skating, snowboarding"	1575	6.77E-06	0.014019052	0.014019052
Doing yoga	1575	0	0	0
Playing billiards	1575	8.20E-05	0.100036421	0.098865336
Fishing	1575	3.38E-05	0.020223127	0.020223127
Dancing	1575	2.47E-04	0.331292851	0.317878837
Playing football	1575	0	0	0
Vehicle touring/racing	1575	6.29E-06	0.015673068	0.015673068
Softball	1575	0	0	0
Playing soccer	1575	0	0	0
Doing aerobics	1575	0	0	0
Hunting	1575	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1575	0	0	0
Bowling	1575	2.52E-05	0.020477704	0.019335454
Rollerblading	1575	0	0	0.008506681
Golfing	1575	0	0	0
Playing volleyball	1575	0	0	0
Boating	1575	2.02E-05	0.029966049	0.029966049
Playing baseball	1575	0	0	0
Running	1580	7.16E-06	0.004882765	0.004882765
Playing racquet sports	1580	0	0	0
Weightlifting/strength training	1580	4.30E-05	0.026865533	0.026865533
Hiking	1580	0	0	0
Biking	1580	2.71E-06	0.003269747	0.002179831
Walking	1580	9.08E-05	0.019648533	0.019485203
Using cardiovascular equipment	1580	2.29E-06	0.001719715	0.001719715
Participating in water sports	1580	2.61E-05	0.008153813	0.008262792
Playing basketball	1580	0	0	0
"Working out, unspecified"	1580	4.50E-05	0.012943269	0.012608985
"Skiing, ice skating, snowboarding"	1580	6.77E-06	0.014019052	0.014019052
Doing yoga	1580	0	0	0
Playing billiards	1580	7.91E-05	0.096523168	0.099624496
Fishing	1580	3.38E-05	0.020223127	0.020223127
Dancing	1580	2.17E-04	0.291050808	0.298556744
Playing football	1580	0	0	0
Vehicle touring/racing	1580	6.29E-06	0.015673068	0.015673068
Softball	1580	0	0	0
Playing soccer	1580	0	0	0
Doing aerobics	1580	0	0	0
Hunting	1580	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1580	0	0	0
Bowling	1580	2.10E-05	0.017050953	0.018193204
Rollerblading	1580	8.13E-06	0.025520044	0.017013363
Golfing	1580	0	0	0
Playing volleyball	1580	0	0	0
Boating	1580	2.02E-05	0.029966049	0.029966049
Playing baseball	1580	0	0	0
Running	1585	7.16E-06	0.004882765	0.006407828
Playing racquet sports	1585	0	0	0
Weightlifting/strength training	1585	4.30E-05	0.026865533	0.030027539
Hiking	1585	0	0	0
Biking	1585	0	0	0.001089916
Walking	1585	7.02E-05	0.015189741	0.016948287
Using cardiovascular equipment	1585	2.29E-06	0.001719715	0.001719715
Participating in water sports	1585	1.99E-05	0.0062101	0.006858004
Playing basketball	1585	0	0	0
"Working out, unspecified"	1585	3.90E-05	0.011215448	0.012532653
"Skiing, ice skating, snowboarding"	1585	6.77E-06	0.014019052	0.009346035
Doing yoga	1585	0	0	0.004210598
Playing billiards	1585	8.39E-05	0.102313898	0.100383655
Fishing	1585	3.38E-05	0.020223127	0.020223127
Dancing	1585	2.04E-04	0.273326574	0.279234652
Playing football	1585	0	0	0
Vehicle touring/racing	1585	6.29E-06	0.015673068	0.015673068
Softball	1585	0	0	0
Playing soccer	1585	0	0	0
Doing aerobics	1585	0	0	0
Hunting	1585	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1585	0	0	0
Bowling	1585	2.10E-05	0.017050953	0.017050953
Rollerblading	1585	8.13E-06	0.025520044	0.025520044
Golfing	1585	0	0	0
Playing volleyball	1585	0	0	0
Boating	1585	2.02E-05	0.029966049	0.029966049
Playing baseball	1585	0	0	0
Running	1590	1.39E-05	0.009457954	0.007932891
Playing racquet sports	1590	0	0	0
Weightlifting/strength training	1590	5.82E-05	0.036351551	0.028770029
Hiking	1590	0	0	0
Biking	1590	0	0	0
Walking	1590	7.40E-05	0.016006586	0.013193478
Using cardiovascular equipment	1590	2.29E-06	0.001719715	0.001719715
Participating in water sports	1590	1.99E-05	0.0062101	0.004995754
Playing basketball	1590	0	0	0
"Working out, unspecified"	1590	4.67E-05	0.013439243	0.012243149
"Skiing, ice skating, snowboarding"	1590	0	0	0.004673017
Doing yoga	1590	5.39E-06	0.012631794	0.008421196
Playing billiards	1590	8.39E-05	0.102313898	0.083617013
Fishing	1590	3.38E-05	0.020223127	0.020223127
Dancing	1590	2.04E-04	0.273326574	0.2590511
Playing football	1590	0	0	0
Vehicle touring/racing	1590	6.29E-06	0.015673068	0.015673068
Softball	1590	0	0	0
Playing soccer	1590	0	0	0
Doing aerobics	1590	0	0	0
Hunting	1590	4.24E-05	0.038997475	0.033910848
Participating in martial arts	1590	0	0	0
Bowling	1590	2.10E-05	0.017050953	0.01448826
Rollerblading	1590	8.13E-06	0.025520044	0.025520044
Golfing	1590	0	0	0
Playing volleyball	1590	0	0	0
Boating	1590	2.02E-05	0.029966049	0.029966049
Playing baseball	1590	0	0	0
Running	1595	1.39E-05	0.009457954	0.009457954
Playing racquet sports	1595	0	0	0
Weightlifting/strength training	1595	3.70E-05	0.023093004	0.027512519
Hiking	1595	0	0	0
Biking	1595	0	0	0
Walking	1595	3.88E-05	0.008384105	0.010311981
Using cardiovascular equipment	1595	2.29E-06	0.001719715	0.001719715
Participating in water sports	1595	8.22E-06	0.002567062	0.003781408
Playing basketball	1595	0	0	0
"Working out, unspecified"	1595	4.20E-05	0.012074756	0.012529585
"Skiing, ice skating, snowboarding"	1595	0	0	0
Doing yoga	1595	5.39E-06	0.012631794	0.012631794
Playing billiards	1595	3.79E-05	0.046223241	0.064920127
Fishing	1595	3.38E-05	0.020223127	0.020223127
Dancing	1595	1.72E-04	0.230500152	0.244775626
Playing football	1595	0	0	0
Vehicle touring/racing	1595	6.29E-06	0.015673068	0.015673068
Softball	1595	0	0	0
Playing soccer	1595	0	0	0
Doing aerobics	1595	0	0	0
Hunting	1595	2.58E-05	0.023737594	0.028824221
Participating in martial arts	1595	0	0	0
Bowling	1595	1.15E-05	0.009362873	0.011925566
Rollerblading	1595	8.13E-06	0.025520044	0.025520044
Golfing	1595	0	0	0
Playing volleyball	1595	0	0	0
Boating	1595	2.02E-05	0.029966049	0.029966049
Playing baseball	1595	0	0	0
Running	1600	1.39E-05	0.009457954	0.009457954
Playing racquet sports	1600	0	0	0
Weightlifting/strength training	1600	3.70E-05	0.023093004	0.023093004
Hiking	1600	0	0	0
Biking	1600	0	0	0
Walking	1600	3.03E-05	0.006545253	0.007158204
Using cardiovascular equipment	1600	2.29E-06	0.001719715	0.003382507
Participating in water sports	1600	8.22E-06	0.002567062	0.002567062
Playing basketball	1600	0	0	0
"Working out, unspecified"	1600	4.20E-05	0.012074756	0.011657932
"Skiing, ice skating, snowboarding"	1600	0	0	0
Doing yoga	1600	5.39E-06	0.012631794	0.012631794
Playing billiards	1600	3.79E-05	0.046223241	0.046223241
Fishing	1600	3.38E-05	0.020223127	0.020223127
Dancing	1600	1.72E-04	0.230500152	0.22953204
Playing football	1600	0	0	0
Vehicle touring/racing	1600	6.29E-06	0.015673068	0.015673068
Softball	1600	0	0	0
Playing soccer	1600	0	0	0
Doing aerobics	1600	0	0	0
Hunting	1600	2.58E-05	0.023737594	0.023737594
Participating in martial arts	1600	0	0	0
Bowling	1600	1.15E-05	0.009362873	0.009362873
Rollerblading	1600	8.13E-06	0.025520044	0.025520044
Golfing	1600	0	0	0
Playing volleyball	1600	0	0	0
Boating	1600	2.02E-05	0.029966049	0.029966049
Playing baseball	1600	0	0	0
Running	1605	1.39E-05	0.009457954	0.009457954
Playing racquet sports	1605	0	0	0
Weightlifting/strength training	1605	3.70E-05	0.023093004	0.019930998
Hiking	1605	0	0	0
Biking	1605	0	0	0
Walking	1605	3.03E-05	0.006545253	0.006407099
Using cardiovascular equipment	1605	8.94E-06	0.00670809	0.005045299
Participating in water sports	1605	8.22E-06	0.002567062	0.002567062
Playing basketball	1605	0	0	0
"Working out, unspecified"	1605	3.76E-05	0.010824284	0.011241108
"Skiing, ice skating, snowboarding"	1605	0	0	0
Doing yoga	1605	5.39E-06	0.012631794	0.012631794
Playing billiards	1605	3.79E-05	0.046223241	0.045645478
Fishing	1605	3.38E-05	0.020223127	0.020223127
Dancing	1605	1.70E-04	0.227595818	0.227750531
Playing football	1605	0	0	0
Vehicle touring/racing	1605	6.29E-06	0.015673068	0.015673068
Softball	1605	0	0	0
Playing soccer	1605	0	0	0
Doing aerobics	1605	0	0	0
Hunting	1605	2.58E-05	0.023737594	0.023737594
Participating in martial arts	1605	0	0	0
Bowling	1605	1.15E-05	0.009362873	0.009362873
Rollerblading	1605	8.13E-06	0.025520044	0.025520044
Golfing	1605	0	0	0
Playing volleyball	1605	0	0	0
Boating	1605	2.02E-05	0.029966049	0.029966049
Playing baseball	1605	0	0	0
Running	1610	1.39E-05	0.009457954	0.009457954
Playing racquet sports	1610	0	0	0
Weightlifting/strength training	1610	2.18E-05	0.013606986	0.016768992
Hiking	1610	0	0	0
Biking	1610	0	0	0
Walking	1610	2.83E-05	0.006130793	0.007376395
Using cardiovascular equipment	1610	8.94E-06	0.00670809	0.00670809
Participating in water sports	1610	8.22E-06	0.002567062	0.002567062
Playing basketball	1610	0	0	0
"Working out, unspecified"	1610	3.76E-05	0.010824284	0.010558341
"Skiing, ice skating, snowboarding"	1610	0	0	0
Doing yoga	1610	5.39E-06	0.012631794	0.012631794
Playing billiards	1610	3.65E-05	0.04448995	0.04313747
Fishing	1610	3.38E-05	0.020223127	0.020223127
Dancing	1610	1.68E-04	0.225155624	0.225969022
Playing football	1610	0	0	0
Vehicle touring/racing	1610	6.29E-06	0.015673068	0.015673068
Softball	1610	0	0	0
Playing soccer	1610	0	0	0
Doing aerobics	1610	0	0	0
Hunting	1610	2.58E-05	0.023737594	0.023737594
Participating in martial arts	1610	0	0	0
Bowling	1610	1.15E-05	0.009362873	0.009362873
Rollerblading	1610	8.13E-06	0.025520044	0.025520044
Golfing	1610	0	0	0
Playing volleyball	1610	0	0	0
Boating	1610	2.02E-05	0.029966049	0.029966049
Playing baseball	1610	0	0	0
Running	1615	1.39E-05	0.009457954	0.009457954
Playing racquet sports	1615	0	0	0
Weightlifting/strength training	1615	2.18E-05	0.013606986	0.014456688
Hiking	1615	0	0	0
Biking	1615	0	0	0
Walking	1615	4.37E-05	0.009453139	0.010423822
Using cardiovascular equipment	1615	8.94E-06	0.00670809	0.011624171
Participating in water sports	1615	8.22E-06	0.002567062	0.001951365
Playing basketball	1615	0	0	0
"Working out, unspecified"	1615	3.49E-05	0.010026454	0.014603543
"Skiing, ice skating, snowboarding"	1615	0	0	0
Doing yoga	1615	5.39E-06	0.012631794	0.012631794
Playing billiards	1615	3.17E-05	0.038699219	0.040629463
Fishing	1615	3.38E-05	0.020223127	0.020223127
Dancing	1615	1.68E-04	0.225155624	0.225155624
Playing football	1615	0	0	0
Vehicle touring/racing	1615	6.29E-06	0.015673068	0.015673068
Softball	1615	0	0	0
Playing soccer	1615	0	0	0
Doing aerobics	1615	0	0	0
Hunting	1615	2.58E-05	0.023737594	0.023737594
Participating in martial arts	1615	0	0	0
Bowling	1615	1.15E-05	0.009362873	0.009362873
Rollerblading	1615	8.13E-06	0.025520044	0.044810657
Golfing	1615	0	0	0
Playing volleyball	1615	0	0	0
Boating	1615	2.02E-05	0.029966049	0.029966049
Playing baseball	1615	0	0	0
Running	180	1.39E-05	0.009457954	0.007932891
Playing racquet sports	180	0	0	0
Weightlifting/strength training	180	2.59E-05	0.016156092	0.016430126
Hiking	180	0	0	0
Biking	180	0	0	0
Walking	180	7.25E-05	0.015687534	0.01318464
Using cardiovascular equipment	180	2.86E-05	0.021456331	0.017290809
Participating in water sports	180	2.31E-06	7.20E-04	0.001335667
